9bd01201         U101201 CAN通讯异常 
cc900696         B100696 前方碰撞感应传感器左故障 
cc900664         B100664 前方碰撞感应传感器左可信性 
cc90064a         B10064A 前方碰撞感应传感器左初始化或错误传感器类型 
cc900786         B100786 前方碰撞感应传感器右外部通讯故障 
cc900796         B100796 前方碰撞感应传感器右故障 
cc900764         B100764 前方碰撞感应传感器右可信性 
cc90074a         B10074A 前方碰撞感应传感器右初始化或错误类型 
cc901211         B101211 驾驶员前安全带张紧器终端对地短路 
cc901212         B101212 驾驶员前安全带张紧器终端对蓄电池短路 
cc90121a         B10121A 驾驶员前安全带张紧器电阻短路 
cc90121b         B10121B 驾驶员前安全带张紧器电阻开路 
cc90121c         B10121C 驾驶员前安全带张紧器交叉耦合 
cc901311         B101311 乘客前安全带张紧器终端对地短路 
cc901312         B101312 乘客前安全带张紧器终端对蓄电池短路 
cc90131a         B10131A 乘客前安全带张紧器电阻短路 
cc90131b         B10131B 乘客前安全带张紧器电阻开路 
cc90131c         B10131C 乘客前安全带张紧器交叉耦合 
cc901011         B101011 驾驶员前安全气囊对地短路 
cc901012         B101012 驾驶员前安全气囊回路对蓄电池短路 
cc90101a         B10101A 驾驶员前安全气囊电阻短路 
cc90101b         B10101B 驾驶员前安全气囊电阻开路 
cc90101c         B10101C 驾驶员前安全气囊回路交叉耦合 
cc901111         B101111 乘客前安全气囊终端对地短路 
cc901112         B101112 乘客前安全气囊终端对蓄电池短路 
cc90111a         B10111A 乘客前安全气囊电阻短路 
cc90111b         B10111B 乘客前安全气囊电阻开路 
cc90111c         B10111C 乘客前安全气囊交叉耦合 
cc901611         B101611 乘客帘式安全气囊终端对地短路 
cc901612         B101612 乘客帘式安全气囊终端对蓄电池短路 
cc90161a         B10161A 乘客帘式安全气囊电阻短路 
cc90161b         B10161B 乘客帘式安全气囊电阻开路 
cc90161c         B10161C 乘客帘式安全气囊交叉耦合 
cc901711         B101711 驾驶员帘式安全气囊终端对地短路 
cc901712         B101712 驾驶员帘式安全气囊终端对蓄电池短路 
cc90171a         B10171A 驾驶员帘式安全气囊电阻短路 
cc90171b         B10171B 驾驶员帘式安全气囊电阻开路 
cc90171c         B10171C 驾驶员帘式安全气囊交叉耦合 
cc901411         B101411 驾驶员侧向安全气囊终端对地短路 
cc901412         B101412 驾驶员侧向安全气囊终端对蓄电池短路 
cc90141a         B10141A 驾驶员侧向安全气囊电阻短路 
cc90141b         B10141B 驾驶员侧向安全气囊电阻开路 
cc90141c         B10141C 驾驶员侧向安全气囊交叉耦合 
cc901511         B101511 乘客侧向安全气囊终端对地短路 
cc901512         B101512 乘客侧向安全气囊终端对蓄电池短路 
cc90151a         B10151A 乘客侧向安全气囊电阻短路 
cc90151b         B10151B 乘客侧向安全气囊电阻开路 
cc90151c         B10151C 乘客侧向安全气囊交叉耦合 
cc902312         B102312 PDM(乘客门控制模块)开关对蓄电池短路 
cc90231c         B10231C PDM(乘客门控制模块)开关交叉耦合 
cc902012         B102012 驾驶员前安全带扣锁止开关对蓄电池短路 
cc90201c         B10201C 驾驶员前安全带扣锁止开关交叉耦合 
cc902112         B102112 乘客前安全带扣锁止开关对蓄电池短路 
cc90211c         B10211C 乘客前安全带扣锁止开关交叉耦合 
cc903412         B103412 碰撞输出对蓄电池短路 
cc903414         B103414 碰撞输出对地短路或开路 
cc905200         B105200 碰撞计数器到达最大 
cc905000         B105000 前气囊展开 
cc905100         B105100 侧气囊展开 
c3f00316         U300316 MCU低压电源欠压故障 
c3f00317         U300317 MCU低压电源过压故障 
c3c40186         U040186 转矩命令超限故障 
c3c10087         U010087 与VCU通讯丢失故障 
c30a0a94         P0A0A94 电机系统高压暴露故障 
c30a001c         P0A001C 电机温度检测回路故障 
c30a2f98         P0A2F98 电机过温故障 
c30a3f00         P0A3F00 MCU位置信号检测回路故障 
c30a4400         P0A4400 电机超速故障 
c30a5101         P0A5101 MCU直流母线电流采样回路故障 
c3060444         P060444 MCU RAM故障 
c3060545         P060545 MCU ROM故障 
c3062f46         P062F46 MCU EEPROM(电可擦除只读存储器)故障 
c3112164         P112164 电机三相电流校验故障 
c3113064         P113064 MCU反馈转矩与转矩命令校验错误故障 
c3113519         P113519 MCU相电流过流故障 
c3114016         P114016 MCU直流母线欠压故障 
c3114017         P114017 MCU直流母线过压故障 
c3116216         P116216 MCU IGBT驱动电路过流故障（C相/W相） 
c3116016         P116016 MCU IGBT驱动电路过流故障（A相/U相） 
c3116116         P116116 MCU IGBT驱动电路过流故障（B相/V相） 
c3117f98         P117F98 MCU 过温故障 
c3117298         P117298 MCU IGBT过温故障（C相/W相） 
c3117098         P117098 MCU IGBT过温故障（A相/U相） 
c3117198         P117198 MCU IGBT过温故障（B相/V相） 
c3118a28         P118A28 MCU相电流传感器零漂故障（A相/U相） 
c3118a12         P118A12 MCU相电流采样回路故障（A相/U相） 
c3118b28         P118B28 MCU相电流传感器零漂故障（B相/V相） 
c3118b12         P118B12 MCU相电流采样回路故障（B相/V相） 
c311881c         P11881C MCU温度检测回路故障 
c3118c28         P118C28 MCU相电流传感器零漂故障（C相/W相） 
c3118c12         P118C12 MCU相电流采样回路故障（C相/W相） 
c3118d28         P118D28 MCU直流母线电流传感器零漂故障 
c311821c         P11821C MCU IGBT温度检测回路故障（C相/W相） 
c311801c         P11801C MCU IGBT温度检测回路故障（A相/U相） 
c311811c         P11811C MCU IGBT温度检测回路故障（B相/V相） 
c311841c         P11841C MCU直流母线电压采样回路故障 
c311a01c         P11A01C MCU电源模块故障 
c2f00316         U300316 蓄电池电压偏低 
c2f00317         U300317 蓄电池电压偏高 
c2c10000         U010000 EMS通信丢失 
c2c14000         U014000 BCM通信丢失 
c2c15500         U015500 ICM通信丢失 
c2d70187         U170187 蓝牙模块错误 
c2d00700         U100700 CAN总线关闭 
c2d00587         U100587 网络管理跛行回家 
c2960009         B160009 CAN信号线错误 
c1164a1d         P164A1D IGBT 温度传感器故障 
c1164b13         P164B13 IGBT_A断路故障 
c1164895         P164895 PTC_A热芯未连接故障 
c1164995         P164995 PTC_B 热芯未连接故障 
c1164e1c         P164E1C IGBT_B短路故障 
c1164f1c         P164F1C PTC_A热芯短路故障 
c1164c13         P164C13 IGBT_B断路故障 
c1164d1c         P164D1C IGBT_A短路故障 
c116421c         P16421C PTC温度传感器短路故障 
c1164398         P164398 PTC本体温度过高故障 
c116401d         P16401D PTC电流异常故障 
c1164113         P164113 PTC温度传感器断路故障 
c1164696         P164696 IGBT_B驱动芯片故障 
c1164716         P164716 PTC高压欠压故障 
c1164498         P164498 IGBT温度过高故障 
c1164596         P164596 IGBT_A驱动芯片故障 
c116501c         P16501C PTC_B热芯短路故障 
c1165187         P165187 CAN通讯故障 
c0f00316         U300316 电源电压过低 
c0f00317         U300317 电源电压过高 
c0c07300         U007300 CAN总线离线 
c0df9a00         U1F9A00 EMS_ENGINE_IDLE_AND_VSPEED报文丢失 
c0df9200         U1F9200 EMS_ENGINE_SPEED_AND_TORQUE报文丢失 
c0542a1c         C142A1C 扭矩传感器电源电压异常 
c0542b29         C142B29 扭矩副信号超出设计范围 
c0542c29         C142C29 扭矩主信号超出设计范围 
c0542d29         C142D29 扭矩主副信号不匹配 
c0543a1c         C143A1C 助力电机电压异常 
c0543b1d         C143B1D 助力电机电流异常 
c0543c04         C143C04 助力电机驱动电路失效 
c0543d1d         C143D1D 助力电机实际电流和目标电流差异过大 
c0544a04         C144A04 ECU继电器失效 
c0544c04         C144C04 控制器信号调理电路失效 
c0545d27         C145D27 车速信号变化太快 
c7c25482         U025482 电池系统内部通讯故障(单子板) 
c7c25582         U025582 (高压板/BMS)VBU/VCU节点通讯丢失 
c7d19982         U119982 电池系统内部通讯故障(多子板) 
c70a0a94         P0A0A94 高低压互锁故障(BMS检测) 
c70a7e22         P0A7E22 电池温度过高 
c70a9513         P0A9513 MSD/主保险断路 
c70aa272         P0AA272 正极继电器断路 
c70aa073         P0AA073 正极继电器粘连 
c70aa61a         P0AA61A 绝缘电阻低 
c70aa473         P0AA473 负极继电器粘连 
c70aa572         P0AA572 负极继电器断路 
c70ae273         P0AE273 预充继电器粘连 
c70ae372         P0AE372 预充继电器断路 
c7121c01         P121C01 动力蓄电池过充故障 
c7121229         P121229 子板单体电压采集电路故障(单子板) 
c7121329         P121329 子板模组电压采集电路故障 
c7121144         P121144 子板EEPROM(电可擦除只读存储器)读写故障 
c7121782         P121782 子板VBU/BMS节点通讯丢失 
c7121429         P121429 子板温度采集电路故障(单通道) 
c7122001         P122001 预充电失败 
c712fa29         P12FA29 子板温度采集电路故障(多通道) 
c712f929         P12F929 子板单体电压采集电路故障(多子板) 
c7118a64         P118A64 外部总电压检测故障 
c7118822         P118822 电池单体过压 
c7118964         P118964 内部总电压检测故障 
c7118e21         P118E21 单体欠压故障(正常放电窗口欠压) 
c7118312         P118312 电池内部短路 
c7118111         P118111 电池外部短路 
c7118722         P118722 温度不均衡 
c7118427         P118427 电池温升过快 
c7118522         P118522 电池单体电压不均衡 
c7119b94         P119B94 铜板松动（接触内阻加大）故障 
c7119c21         P119C21 单体过放失效故障 
c7119321         P119321 单体最低温度报警 
c7119022         P119022 总电压过压 
c7119121         P119121 电池总电压欠压 
c711d829         P11D829 总电流检测电路故障 
c711d213         P11D213 预充电阻断路 
c711d329         P11D329 内部总电压检测电路故障 
c711d144         P11D144 BCU-EEPROM(电可擦除只读存储器)读写故障 
c711d674         P11D674 预充电继电器驱动通道故障 
c711d729         P11D729 绝缘检测电路故障 
c711d429         P11D429 外部总电压检测电路故障 
c711d574         P11D574 正端继电器驱动通道故障 
c6c25482         U025482 电池系统内部通讯故障(单子板) 
c6c25582         U025582 (高压板/BMS)VBU/VCU节点通讯丢失 
c6d19982         U119982 电池系统内部通讯故障(多子板) 
c60a0a94         P0A0A94 高低压互锁故障(BMS检测) 
c60a7e22         P0A7E22 电池温度过高 
c60a9513         P0A9513 MSD/主保险断路 
c60aa272         P0AA272 正极继电器断路 
c60aa073         P0AA073 正极继电器粘连 
c60aa61a         P0AA61A 绝缘电阻低 
c60aa473         P0AA473 负极继电器粘连 
c60aa572         P0AA572 负极继电器断路 
c60ae273         P0AE273 预充继电器粘连 
c60ae372         P0AE372 预充继电器断路 
c6121c01         P121C01 动力蓄电池过充故障 
c6121229         P121229 子板单体电压采集电路故障(单子板) 
c6121329         P121329 子板模组电压采集电路故障 
c6121144         P121144 子板EEPROM(电可擦除只读存储器)读写故障 
c6121782         P121782 子板VBU/BMS节点通讯丢失 
c6121429         P121429 子板温度采集电路故障(单通道) 
c6122001         P122001 预充电失败 
c612fa29         P12FA29 子板温度采集电路故障(多通道) 
c612f929         P12F929 子板单体电压采集电路故障(多子板) 
c6118a64         P118A64 外部总电压检测故障 
c6118822         P118822 电池单体过压 
c6118964         P118964 内部总电压检测故障 
c6118e21         P118E21 单体欠压故障(正常放电窗口欠压) 
c6118312         P118312 电池内部短路 
c6118111         P118111 电池外部短路 
c6118722         P118722 温度不均衡 
c6118427         P118427 电池温升过快 
c6118522         P118522 电池单体电压不均衡 
c6119b94         P119B94 铜板松动（接触内阻加大）故障 
c6119c21         P119C21 单体过放失效故障 
c6119321         P119321 单体最低温度报警 
c6119022         P119022 总电压过压 
c6119121         P119121 电池总电压欠压 
c611d829         P11D829 总电流检测电路故障 
c611d213         P11D213 预充电阻断路 
c611d329         P11D329 内部总电压检测电路故障 
c611d144         P11D144 BCU-EEPROM(电可擦除只读存储器)读写故障 
c611d674         P11D674 预充电继电器驱动通道故障 
c611d729         P11D729 绝缘检测电路故障 
c611d429         P11D429 外部总电压检测电路故障 
c611d574         P11D574 正端继电器驱动通道故障 
c5c25387         U025387 BMS与车载充电机通讯故障 
c5c25482         U025482 电池系统内部通讯故障（单子板） 
c5c25582         U025582 (高压板)VBU/VCU节点通讯丢失 
c5d19982         U119982 电池系统内部通讯故障（多子板） 
c50a0a94         P0A0A94 高低压互锁故障 
c50a7e22         P0A7E22 电池温度过高 
c50a9513         P0A9513 MSD/主保险断路 
c50aa272         P0AA272 正极继电器断路 
c50aa073         P0AA073 正极继电器粘连 
c50aa61a         P0AA61A 绝缘电阻低 
c50aa473         P0AA473 负极继电器粘连 
c50aa572         P0AA572 负极继电器断路 
c50ae273         P0AE273 预充继电器粘连 
c50ae372         P0AE372 预充继电器断路 
c5121229         P121229 子板单体电压采集电路故障（单子板） 
c5121329         P121329 子板模组电压采集电路故障 
c5121144         P121144 子板EEPROM(电可擦除只读存储器)读写故障 
c5121674         P121674 子板被动均衡通道故障 
c5121782         P121782 子板VBU/BMS节点通讯丢失 
c5121429         P121429 子板温度采集电路故障（单通道） 
c5121574         P121574 子板主动均衡通道故障 
c512fa29         P12FA29 子板温度采集电路故障（多通道） 
c512f929         P12F929 子板单体电压采集电路故障（多子板 
c5118a64         P118A64 外部总电压检测故障（V2） 
c5118822         P118822 电池单体过压 
c5118964         P118964 内部总电压检测故障（V1） 
c5118312         P118312 电池内部短路 
c5118111         P118111 电池外部短路 
c5118674         P118674 充电电流异常 
c5118722         P118722 温度不均衡 
c5118427         P118427 电池温升过快 
c5118522         P118522 电池单体电压不均衡 
c5119844         P119844 BMS-EEPROM(电可擦除只读存储器)读写故障 
c5119796         P119796 加热元件故障 
c511d829         P11D829 总电流检测电路故障 
c511d213         P11D213 预充电阻断路 
c511d329         P11D329 内部总电压检测电路故障(V1) 
c511d144         P11D144 BCU-EEPROM(电可擦除只读存储器)读写故障 
c511d674         P11D674 预充电继电器驱动通道故障 
c511d729         P11D729 绝缘检测电路故障 
c511d429         P11D429 外部总电压检测电路故障(V2) 
c511d574         P11D574 正端继电器驱动通道故障 
c4f00316         U300316 MCU低压电源欠压故障 
c4f00317         U300317 MCU低压电源过压故障 
c4c40186         U040186 转矩命令超限故障 
c4c10087         U010087 与VCU通讯丢失故障 
c40a0a94         P0A0A94 电机系统高压暴露故障 
c40a001c         P0A001C 电机温度检测回路故障 
c40a2f98         P0A2F98 电机过温故障 
c40a3f00         P0A3F00 MCU位置信号检测回路故障 
c40a4400         P0A4400 电机超速故障 
c40a5101         P0A5101 MCU直流母线电流采样回路故障 
c4060444         P060444 MCU RAM故障 
c4060545         P060545 MCU ROM故障 
c4062f46         P062F46 MCU EEPROM(电可擦除只读存储器)故障 
c4112164         P112164 电机三相电流校验故障 
c4113064         P113064 MCU反馈转矩与转矩命令校验错误故障 
c4113519         P113519 MCU相电流过流故障 
c4114016         P114016 MCU直流母线欠压故障 
c4114017         P114017 MCU直流母线过压故障 
c4116216         P116216 MCU IGBT驱动电路过流故障（C相/W相） 
c4116016         P116016 MCU IGBT驱动电路过流故障（A相/U相） 
c4116116         P116116 MCU IGBT驱动电路过流故障（B相/V相） 
c4117f98         P117F98 MCU 过温故障 
c4117298         P117298 MCU IGBT过温故障（C相/W相） 
c4117098         P117098 MCU IGBT过温故障（A相/U相） 
c4117198         P117198 MCU IGBT过温故障（B相/V相） 
c4118a28         P118A28 MCU相电流传感器零漂故障（A相/U相） 
c4118a12         P118A12 MCU相电流采样回路故障（A相/U相） 
c4118b28         P118B28 MCU相电流传感器零漂故障（B相/V相） 
c4118b12         P118B12 MCU相电流采样回路故障（B相/V相） 
c411881c         P11881C MCU温度检测回路故障 
c4118c28         P118C28 MCU相电流传感器零漂故障（C相/W相） 
c4118c12         P118C12 MCU相电流采样回路故障（C相/W相） 
c4118d28         P118D28 MCU直流母线电流传感器零漂故障 
c411821c         P11821C MCU IGBT温度检测回路故障（C相/W相） 
c411801c         P11801C MCU IGBT温度检测回路故障（A相/U相） 
c411811c         P11811C MCU IGBT温度检测回路故障（B相/V相） 
c411841c         P11841C MCU直流母线电压采样回路故障 
c411a01c         P11A01C MCU电源模块故障 
fbc36287         U036287 PEPS节点丢失 
fbc36387         U036387 UEC节点丢失 
fbc23187         U023187 RLS节点丢失 
fbc25887         U025887 ICM节点丢失 
fbc10087         U010087 VCU节点丢失 
fbc15100         U015100 SDM节点丢失 
fbc07388         U007388 CAN 网络失效(Bus Off) 
fbd2e487         U12E487 RLS 响应错误 
fbd00587         U100587 网络管理跛行回家 
fb910811         B110811 左转向灯输出短接到地 
fb910813         B110813 左转向灯输出开路(包括左前和左后转向灯) 
fb910911         B110911 右转向灯输出短接到地 
fb910913         B110913 右转向灯输出开路(包括右前和右后转向灯) 
fb910004         B110004 BCM内部存储错误 
fb910712         B110712 后雾灯继电器控制输出短接到电源 
fb910714         B110714 后雾灯继电器控制输出短接到地或开路 
fb911b71         B111B71 后背门解锁按钮粘连 
fb911e11         B111E11 后雾灯开关粘连 
fb911d11         B111D11 危险警告灯开关粘连 
fb911651         B111651 未写入EOL配置数据 
fb911716         B111716 供电电源欠压 
fb911717         B111717 供电电源过压 
fb912a11         B112A11 前洗涤开关粘连 
fb912c11         B112C11 Flash开关粘连 
fb91271d         B11271D 乘客侧车窗继电器黏连 
fb914111         B114111 后视镜折叠开关粘连 
fb91841d         B11841D 驾驶侧车窗继电器黏连 
fb91ab11         B11AB11 乘客侧本地车窗开关粘连 
fb91a811         B11A811 乘客侧远程车窗开关粘连 
fb91a711         B11A711 驾驶侧远程车窗开关粘连 
fb91ec04         B11EC04 RLS 雨传感错误 
fb91ed04         B11ED04 RLS 光传感错误 
faf00316         U300316 低电压故障 
faf00317         U300317 高电压故障 
fac10087         U010087 VCU节点掉线故障 
fac14087         U014087 BCM节点掉线故障 
fac07388         U007388 总线关闭故障 
fa16ba11         P16BA11 右门门把手闭锁电容开关短地故障 
fa16bb01         P16BB01 左门门把手天线故障 
fa16b811         P16B811 右门门把手解锁电容开关短地故障 
fa16b911         P16B911 左门门把手闭锁电容开关短地故障 
fa16be01         P16BE01 IMMO故障 
fa16bf01         P16BF01 跛行回家功能故障 
fa16bc01         P16BC01 右门门把手天线故障 
fa16bd01         P16BD01 车内天线故障 
fa16b212         P16B212 启动按钮开关2短地故障 
fa16b313         P16B313 ACC继电器控制端开路故障 
fa16b001         P16B001 启动按钮故障 
fa16b112         P16B112 启动按钮开关1短地故障 
fa16b612         P16B612 IG1继电器控制端短电源故障 
fa16b711         P16B711 左门门把手解锁电容开关短地故障 
fa16b413         P16B413 IG1继电器控制端开路故障 
fa16b512         P16B512 ACC继电器控制端短电源故障 
fa16c201         P16C201 电子转向柱锁(ESCL)传感器故障 
fa16c301         P16C301 电子转向柱锁(ESCL)电机驱动故障 
fa16c001         P16C001 电子转向柱锁(ESCL)服务硬件故障 
fa16c101         P16C101 电子转向柱锁(ESCL)锁接地故障 
fa16c601         P16C601 电子转向柱锁(ESCL)电机驱动器过载故障 
fa16c401         P16C401 电子转向柱锁(ESCL)电源供电故障 
fa16c501         P16C501 电子转向柱锁(ESCL)电机未激活故障 
f9c07388         U007388 Bus OFF 故障 
f9172a01         P172A01 左后轮胎压监测传感器电池电量低故障 
f9172b01         P172B01 右后轮胎压监测传感器电池电量低故障 
f9172801         P172801 左前轮胎压监测传感器电池电量低故障 
f9172901         P172901 右前轮胎压监测传感器电池电量低故障 
f9172e87         P172E87 胎压监测接收器CAN车速信号丢失故障 
f9172f00         P172F00 左前轮胎压监测传感器ID未注册故障 
f9172c46         P172C46 胎压监测接收器EEPROM(电可擦除只读存储器)故障 
f9172d01         P172D01 胎压监测接收器RF故障 
f9172201         P172201 左后轮胎压监测传感器RF通信故障 
f9172301         P172301 右后轮胎压监测传感器RF通信故障 
f9172001         P172001 左前轮胎压监测传感器RF通信故障 
f9172101         P172101 右前轮胎压监测传感器RF通信故障 
f9172601         P172601 左后轮胎压监测传感器系统故障 
f9172701         P172701 右后轮胎压监测传感器系统故障 
f9172401         P172401 左前轮胎压监测传感器系统故障 
f9172501         P172501 右前轮胎压监测传感器系统故障 
f9173200         P173200 右后轮胎压监测传感器ID未注册故障 
f9173000         P173000 右前轮胎压监测传感器ID未注册故障 
f9173100         P173100 左后轮胎压监测传感器ID未注册故障 
f8f00316         U300316 系统供电电压过低 
f8f00317         U300317 系统供电电压过高 
f8c10087         U010087 VCU节点丢失 
f8c11087         U011087 MCU节点丢失 
f8c12187         U012187 ABS_ESC节点丢失 
f8c14087         U014087 BCM节点丢失 
f8c07388         U007388 CAN总线bus off 
f815ba01         P15BA01 左执行器故障-场效应管故障 
f815bb01         P15BB01 右执行器故障-场效应管故障 
f815b801         P15B801 左执行器故障-控制电路故障 
f815b901         P15B901 右执行器故障-控制电路故障 
f815be11         P15BE11 左执行器故障-短路 
f815bf11         P15BF11 右执行器故障-短路 
f815bc01         P15BC01 左执行器故障-机构损坏 
f815bd01         P15BD01 右执行器故障-机构损坏 
f815b216         P15B216 执行机构故障-低压 
f815b301         P15B301 执行机构故障 
f815b001         P15B001 点火线路故障 
f815b101         P15B101 执行器电压异常 
f815b613         P15B613 左执行器故障-开路 
f815b713         P15B713 右执行器故障-开路 
f815b401         P15B401 左执行器故障-运行超时 
f815b501         P15B501 右执行器故障-运行超时 
f815ca01         P15CA01 开关故障-状态不一致 
f815cb01         P15CB01 控制器故障-堆栈 
f815c801         P15C801 开关故障-释放卡滞 
f815c901         P15C901 开关故障-线路故障 
f815ce01         P15CE01 控制器故障-未正确配置 
f815cf01         P15CF01 控制器故障-数据无效 
f815cc01         P15CC01 控制器故障-数模转换 
f815cd01         P15CD01 控制器硬件故障-电可擦除存储器 
f815c201         P15C201 左执行器故障-晶体管 
f815c301         P15C301 右执行器故障-晶体管 
f815c001         P15C001 左执行器故障-继电器 
f815c101         P15C101 右执行器故障-继电器 
f815c601         P15C601 开关故障-状态不稳定 
f815c701         P15C701 开关故障-拉起卡滞 
f815c401         P15C401 左执行器故障-标定错误 
f815c501         P15C501 右执行器故障-标定错误 
f815da01         P15DA01 下线标定未完成 
f815db29         P15DB29 VCU节点信号无效 
f815d811         P15D811 EPB(电子驻车制动)状态灯-断路或对地短路 
f815d912         P15D912 需求灯-对高短路 
f815de29         P15DE29 BCM节点信号无效 
f815dc29         P15DC29 ABS节点信号无效 
f815dd29         P15DD29 MCU节点信号无效 
f815d201         P15D201 控制器故障-辅芯片 
f815d301         P15D301 控制器硬件故障-主存储 
f815d001         P15D001 控制器故障-未标定 
f815d101         P15D101 控制器硬件故障-主辅通信 
f815d601         P15D601 加速度传感器信号无效 
f815d701         P15D701 加速度传感器自检失败 
f815d401         P15D401 控制器硬件故障-随机存储 
f815d501         P15D501 控制器故障-辅芯片输入输出控制 
ffc07388         U007388 总线关闭故障 
ff174201         P174201 RVC(倒车影像系统)倒像故障 
ff174387         P174387 RVC(倒车影像系统)获取车速信息丢失故障 
ff174001         P174001 RVC(倒车影像系统)花屏故障 
ff174101         P174101 RVC(倒车影像系统)花屏故障 
ff174417         P174417 RVC(倒车影像系统)输入电压过高故障 
ff174516         P174516 RVC(倒车影像系统)输入电压过低故障 
fec07388         U007388 CAN 总线关闭 
fe178287         P178287 MCU_627 节点丢失 
fe178387         P178387 MCU_212 节点丢失 
fe178001         P178001 发声模块故障 
fe178187         P178187 MCU_611 节点丢失 
fd148801         P148801 CP 信号异常故障 
fd14894b         P14894B 二级过温故障 
fd148214         P148214 输出短路故障 
fd148216         P148216 输出欠压故障 
fd148217         P148217 输出过压故障 
fd148219         P148219 输出过流故障 
fd14804b         P14804B 一级过温故障 
fd148008         P148008 与 VCU 通信异常故障 
fd14801c         P14801C 温度检测回路故障 
fd148116         P148116 输入欠压故障 
fd148117         P148117 输入过压故障 
fd148119         P148119 输入过流故障 
fd148601         P148601 常电供电异常故障 
fd148701         P148701 OBC自检异常故障 
fd148402         P148402 CC 信号异常故障 
fcc12187         U012187 与 ABS 通讯丢失故障 
fc144a73         P144A73 继电器粘连故障 
fc144a00         P144A00 EPS(电动助力转向系统) 失效安全继电器故障 
fc144b1c         P144B1C EPS(电动助力转向系统) 助力电机电压异常故障 
fc144800         P144800 EPS(电动助力转向系统) 扭矩传感器电源故障 
fc144900         P144900 EPS(电动助力转向系统) 转矩转角传感器电源故障 
fc144c00         P144C00 EPS(电动助力转向系统) 助力电机位置信号故障 
fc144d00         P144D00 EPS(电动助力转向系统) 助力电机转子位置传感器故障 
fc144201         P144201 EPS(电动助力转向系统) 转角传感器信号故障 
fc144219         P144219 EPS(电动助力转向系统) 助力电机过流故障 
fc14421d         P14421D EPS(电动助力转向系统) 助力电机电流异常故障 
fc144064         P144064 EPS(电动助力转向系统) 扭矩传感器主辅路信号校验故障 
fc144000         P144000 ECU 温度信号超限 
fc144164         P144164 EPS(电动助力转向系统) 扭矩传感器主、副信号故障 
fc144100         P144100 ECU 温度监测信号无效 
fc144101         P144101 EPS(电动助力转向系统) 扭矩传感器信号超幅故障 
fc144602         P144602 EPS(电动助力转向系统) 车速信号故障 
fc144700         P144700 EPS(电动助力转向系统) 控制器电源故障 
fc144400         P144400 EPS(电动助力转向系统) 控制器硬件故障 
f3f00316         U300316 MCU低压电源欠压故障 
f3f00317         U300317 MCU低压电源过压故障 
f3c40186         U040186 转矩命令超限故障 
f3c10087         U010087 与VCU通讯丢失故障 
f3c12187         U012187 与ABS通讯丢失故障 
f3402192         C002192 制动助力系统低真空度故障 
f3402194         C002194 真空泵常转故障 
f3402101         C002101 真空泵电气系统故障 
f3404701         C004701 制动助力系统传感器故障 
f30a0a94         P0A0A94 电机系统高压暴露故障 
f30a001c         P0A001C 电机温度检测回路故障 
f30a2f98         P0A2F98 电机过温故障 
f30a3f00         P0A3F00 MCU位置信号检测回路故障 
f30a4400         P0A4400 电机超速故障 
f30a5101         P0A5101 MCU直流母线电流采样回路故障 
f3060d64         P060D64 加速踏板信号校验错误 
f3060d1c         P060D1C 加速踏板信号错误 
f3060444         P060444 MCU RAM故障 
f3060545         P060545 MCU ROM故障 
f3062f46         P062F46 MCU EEPROM(电可擦除只读存储器)故障 
f3112164         P112164 电机三相电流校验故障 
f3113064         P113064 MCU反馈转矩与转矩命令校验错误故障 
f3113519         P113519 MCU相电流过流故障 
f3114016         P114016 MCU直流母线欠压故障 
f3114017         P114017 MCU直流母线过压故障 
f3116216         P116216 MCU 相电流硬件过流故障（C相/W相） 
f3116016         P116016 MCU 相电流硬件过流故障（A相/U相） 
f3116116         P116116 MCU 相电流硬件过流故障（B相/V相） 
f3117298         P117298 MCU IGBT过温故障（C相/W相） 
f3117098         P117098 MCU IGBT过温故障（A相/U相） 
f3117198         P117198 MCU IGBT过温故障（B相/V相） 
f3118a28         P118A28 MCU相电流传感器零漂故障（A相/U相） 
f3118a12         P118A12 MCU相电流采样回路故障（A相/U相） 
f3118b28         P118B28 MCU相电流传感器零漂故障（B相/V相） 
f3118b12         P118B12 MCU相电流采样回路故障（B相/V相） 
f3118c28         P118C28 MCU相电流传感器零漂故障（C相/W相） 
f3118c12         P118C12 MCU相电流采样回路故障（C相/W相） 
f3118d28         P118D28 MCU直流母线电流传感器零漂故障 
f311821c         P11821C MCU IGBT温度检测回路故障（C相/W相） 
f311801c         P11801C MCU IGBT温度检测回路故障（A相/U相） 
f311811c         P11811C MCU IGBT温度检测回路故障（B相/V相） 
f311841c         P11841C MCU直流母线电压采样回路故障 
f311aa01         P11AA01 MCU主控板电源模块故障 
f311ab01         P11AB01 MCU驱动板电源模块故障 
f311a894         P11A894 电机系统高低压互锁故障 
f311a902         P11A902 MCU唤醒信号故障 
f311ac01         P11AC01 加速踏板供电电源故障 
f311ad01         P11AD01 制动踏板供电电源故障 
f311a201         P11A201 MCU IGBT驱动电路过流故障(U/V/W) 
f311a301         P11A301 MCU IGBT驱动电路过流故障(U/V/W) 
f311a101         P11A101 MCU IGBT驱动电路过流故障(U/V/W) 
f311a601         P11A601 MCU IGBT驱动电路过流故障(U/V/W) 
f311a707         P11A707 MCU IGBT 开管异常故障 
f311a401         P11A401 MCU IGBT驱动电路过流故障(U/V/W) 
f311a501         P11A501 MCU IGBT驱动电路过流故障(U/V/W) 
